Winner,weight_class,B_avg_KD,B_avg_SUB_ATT,B_avg_SIG_STR_landed,B_avg_TD_att,B_avg_HEAD_landed,B_avg_BODY_landed,B_avg_LEG_landed,B_avg_DISTANCE_landed,B_avg_CLINCH_landed,B_avg_GROUND_landed,B_avg_CTRL_time.seconds.,B_total_title_bouts,B_longest_win_streak,B_wins,B_losses,B_win_by_KO.TKO,B_win_by_Submission,B_Reach_cms,B_age,B_current_streak,B_win_by_Decision,R_avg_KD,R_avg_SUB_ATT,R_avg_SIG_STR_landed,R_avg_TD_att,R_avg_HEAD_landed,R_avg_BODY_landed,R_avg_LEG_landed,R_avg_DISTANCE_landed,R_avg_CLINCH_landed,R_avg_GROUND_landed,R_avg_CTRL_time.seconds.,R_total_title_bouts,R_longest_win_streak,R_wins,R_losses,R_win_by_KO.TKO,R_win_by_Submission,R_Reach_cms,R_age,R_current_streak,R_win_by_Decision
Blue,WomenBantamweight,0.125,0.125,57.9375,5.375,31.375,26.1875,0.375,11,28.8125,18.125,390.25,1,3,4,1,2,1,182.88,29,3,1,0,0.231445313,44.36230469,2.26171875,26.03027344,13.46972656,4.862304688,27.90722656,13.97070313,2.484375,141.2851563,0,2,5,6,2,2,172.72,43,2,1
Blue,Lightweight,0,1.25,40.75,6.375,23.125,4.5,13.125,29.625,2,9.125,431.75,0,4,4,0,0,2,182.88,27,4,2,0.3125,0.0390625,42.1875,1.40625,32.28125,5.9453125,3.9609375,28.8828125,5.171875,8.1328125,59.03125,1,6,7,1,2,2,190.5,41,1,3
Blue,Welterweight,0.046875,0.189453125,60.11328125,2.73046875,38.81445313,14.41992188,6.87890625,55.88867188,3.763671875,0.4609375,148.5078125,0,1,4,6,2,0,193.04,35,-1,2,0.625,0,33.5,0,23.375,5.875,4.25,28.9375,3,1.5625,13.5,0,2,4,1,3,0,180.34,31,2,1
Red,Middleweight,0.15625,0.029296875,26.078125,0.935546875,19.921875,2.685546875,3.470703125,14.09375,2.984375,9,69.5,0,5,8,2,3,2,205.74,28,-1,3,0.024551392,9.16E-05,72.17990112,8.111679077,46.65184021,15.4604187,10.06764221,50.01177979,7.164001465,15.00411987,157.8121185,0,5,12,5,7,1,195.58,37,2,4
Blue,LightHeavyweight,1.0625,0.5,22.0625,3,18.5625,3.4375,0.0625,16.5625,2.1875,3.3125,128.75,0,4,4,1,1,1,200.66,29,4,2,0,0.77734375,6.90625,1.234375,3.94921875,2.5625,0.39453125,2.4921875,2.71484375,1.69921875,82.94140625,0,4,6,3,1,5,195.58,34,4,0
Red,WomenStrawweight,0.015625,1.59375,33.734375,3.4375,22.0625,6.7421875,4.9296875,19.734375,2.8671875,11.1328125,406.9375,0,2,3,5,0,0,175.26,33,-3,3,0.250152588,0.140625,103.708313,0.636993408,67.7644043,33.17245483,2.771453857,84.08758545,16.8878479,2.732879639,113.0008545,0,3,7,9,1,0,162.56,36,1,5
Blue,Bantamweight,0.5,0.5,50.0625,4.625,28.625,13.96875,7.46875,44.4375,2.46875,3.15625,178.9375,1,2,3,3,1,0,175.26,35,-1,2,0.8125,0,70.1875,0.75,45.59375,19.3125,5.28125,60.125,3.5625,6.5,45.875,0,2,4,2,2,0,177.8,26,-1,2
Red,Featherweight,0,1.3125,84.25,8.9375,54.3125,23.1875,6.75,64.0625,17.5625,2.625,225.5,0,3,4,1,0,2,167.64,34,1,2,0.09375,0.03125,73.21875,6.25,39.875,22.125,11.21875,64.7109375,4.21875,4.2890625,63.453125,0,6,6,2,1,1,180.34,29,-1,4
Blue,WomenFlyweight,0,0,56.828125,0.71875,45.15625,8.359375,3.3125,49.359375,7.15625,0.3125,60.90625,0,3,4,3,0,0,170.18,28,-1,4,0,0.595703125,32.12548828,0.412109375,21.55859375,3.4296875,7.137207031,28.35791016,2.444824219,1.322753906,10.54736328,0,2,5,7,1,2,170.18,33,-2,2
Red,Bantamweight,0,0.15625,97.90625,3.40625,55.4375,24.90625,17.5625,93.84375,3.09375,0.96875,68.34375,0,3,5,1,0,1,172.72,29,2,4,0.125,0.015625,59.53125,5.875,37.8125,8.65625,13.0625,55.6875,2.578125,1.265625,42.78125,6,5,5,2,1,0,172.72,35,5,4
Blue,Bantamweight,0,1.128051758,63.05957031,4.014526367,38.44311523,15.8223877,8.794067383,56.76257324,4.485229492,1.811767578,75.11462402,0,5,11,3,1,4,180.34,31,4,6,1.53125,0.03125,126.828125,2.328125,96.984375,23.859375,5.984375,67.8125,10.765625,48.25,183.984375,1,7,7,0,4,0,170.18,28,7,3
Red,LightHeavyweight,1.05078125,0.1328125,54.90234375,0.01953125,24.96875,7.0859375,22.84765625,48.62109375,1.34375,4.9375,8.6171875,4,9,9,0,4,0,203.2,31,9,5,0.825195313,0.017700195,36.394104,0.11895752,21.9309082,5.720458984,8.742736816,31.89178467,2.377746582,2.124572754,9.817443848,1,4,10,5,4,2,198.12,38,1,4
Blue,LightHeavyweight,0.71875,0.25,47.625,2.4375,24.5625,8.59375,14.46875,29.8125,6.25,11.5625,434.28125,0,4,5,1,2,0,198.12,29,4,3,0.760400772,0.015625,44.54456902,0.458078384,28.63368607,4.301019669,11.60986328,23.81578255,3.242740631,17.48604584,58.49700165,1,4,13,7,11,0,193.04,37,-1,2
Red,WomenFeatherweight,0.5,0.25,8.1875,1,6.8125,1.375,0,4.125,1.5625,2.5,58,0,2,3,2,2,1,182.88,31,-1,0,0.251464844,1.008789063,90.39160156,6.637939453,65.39221191,9.487182617,15.51220703,56.08776855,1.934814453,32.36901855,530.2392578,8,11,13,1,7,2,175.26,32,2,4
Red,Lightweight,0.388671875,0.00012207,42.12597656,0.180603027,32.88763428,4.716918945,4.52142334,33.20422363,4.888122559,4.033630371,27.59954834,0,3,9,6,5,1,177.8,32,-2,3,0.5625,0.1640625,27.875,3.1328125,20.0859375,5.5234375,2.265625,16.4296875,3.5703125,7.875,274.171875,0,6,7,1,1,2,177.8,29,1,4
Red,Flyweight,0,0,60,1.5,32.6875,11.625,15.6875,44.1875,11.3125,4.5,38.1875,0,1,2,3,0,0,175.26,31,1,2,0.00012207,1.079589844,46.34509277,10.76257324,20.25024414,11.27172852,14.82312012,30.79467773,9.789550781,5.760864258,172.251709,1,2,5,9,0,1,167.64,34,-1,4
Blue,Heavyweight,0.625,0.25,59.375,0.75,22.625,18.25,18.5,51,6.875,1.5,33.75,0,4,4,0,1,2,205.74,30,4,1,0.75,0,34.40625,0,19.1875,2.53125,12.6875,25.375,2.53125,6.5,5.875,0,4,5,1,5,0,198.12,32,4,0
Blue,Lightweight,0,1.0625,30.375,3.125,20.5,3.6875,6.1875,27.375,1.0625,1.9375,87.9375,0,2,3,2,0,1,177.8,25,-1,2,0.53125,0,30.65625,1.8125,16.78125,8.75,5.125,26.625,3.34375,0.6875,34.125,0,2,4,2,2,0,182.88,28,2,2
Red,Bantamweight,0.033203125,0.5,51.03320313,2.560546875,22.05664063,12.55078125,16.42578125,38.51953125,9.44921875,3.064453125,92.94140625,0,5,7,3,1,0,172.72,31,5,6,0.28125,0.046386719,119.8150635,0.326049805,66.83703613,20.65002441,32.32800293,116.3287354,1.790283203,1.696044922,14.07067871,0,4,8,6,3,3,165.1,34,-1,2
Red,WomenBantamweight,0.5,0.5,116.5,0.5,47.75,29.375,39.375,97.625,15.5,3.375,118.375,0,3,3,1,0,1,177.8,23,-1,2,0,0.213867188,64.578125,2.970703125,25.29785156,19.25292969,20.02734375,49.32519531,9.66796875,5.584960938,228.3916016,1,3,6,5,0,1,172.72,36,3,5
Blue,LightHeavyweight,1.21875,0,22.09375,0.5625,16.3125,3.75,2.03125,13.875,1.6875,6.53125,78.625,0,5,5,1,4,0,190.5,28,-1,1,0.017822266,0.576660156,39.92822266,5.394775391,27.14599609,8.715576172,4.066650391,17.79589844,3.065185547,19.06713867,440.2099609,0,5,8,5,3,4,195.58,28,-1,1
Blue,Heavyweight,0.524536133,0,27.99081802,1.187185287,23.53863525,3.939235687,0.512947083,7.810628891,4.804489136,15.3757,107.122467,1,6,15,5,11,0,200.66,36,2,4,0.00390625,0,47.40136719,15.60351563,26.63720703,4.620117188,16.14404297,20.85009766,5.595214844,20.95605469,703.9389648,0,4,9,3,4,0,203.2,30,-1,4
Blue,WomenBantamweight,0,0.0625,50.3125,1.875,18.625,22.3125,9.375,21.25,25.3125,3.75,523.25,1,2,3,2,0,0,172.72,31,-1,3,0,0.25,47.8125,3.15625,44.34375,2.90625,0.5625,42.28125,3.40625,2.125,179.625,0,4,5,1,0,1,172.72,29,4,4
Blue,WomenFlyweight,0,0.390625,78.390625,1.28125,49.984375,15.515625,12.890625,67.609375,6.46875,4.3125,76.296875,0,1,4,3,0,0,167.64,27,1,4,0,0.5,31.875,0.625,25.25,4,2.625,15.625,9.125,7.125,100.375,0,3,3,1,3,0,165.1,22,3,0
Red,Welterweight,0.15625,0.015625,34.12890625,3.7890625,20.640625,5.34765625,8.140625,31.75,0.96484375,1.4140625,93.09765625,2,3,4,5,1,0,190.5,32,-1,3,0,0.28125,67.39941406,7.765625,49.29492188,10.90917969,7.1953125,58.7890625,5.606445313,3.00390625,162.3574219,0,4,8,3,1,1,182.88,32,-1,6
Red,Welterweight,0.271484375,0.657104492,54.21173096,5.139709473,27.60198975,15.69763184,10.91210938,32.83886719,8.055297852,13.31756592,297.2454224,0,6,12,3,3,4,180.34,34,3,5,0.54296875,0.002441406,120.0297852,10.22607422,65.83300781,50.36376953,3.833007813,68.63427734,32.75683594,18.63867188,731.5102539,4,12,12,0,2,1,193.04,33,12,9
Red,Featherweight,0.12890625,0.568359375,20.84765625,1.541015625,10.50195313,3.857421875,6.48828125,19.09570313,0.896484375,0.85546875,26.09765625,0,2,6,4,2,3,167.64,34,1,1,0.0625,0.515625,35.484375,10.328125,25.5,6.53125,3.453125,22.90625,4.8125,7.765625,330.046875,0,3,5,2,1,1,175.26,28,3,3
Red,Middleweight,0.5625,0.125,36.375,4,23.625,6.5,6.25,22.8125,3.1875,10.375,67.25,0,2,3,2,1,0,182.88,32,2,2,0.130874634,0.000137329,26.31663513,2.631286621,14.41984558,5.006210327,6.890579224,21.55487061,4.17350769,0.588256836,71.11103821,2,5,10,7,3,2,180.34,29,5,5
Blue,CatchWeight,0.5,0.5,59.9375,0.8125,22.75,7.5625,29.625,54.25,1.75,3.9375,56.75,0,3,3,2,1,0,170.18,29,-1,2,0.03125,0,94.4375,0.15625,57.53125,30.9375,5.96875,91.65625,2.75,0.03125,44.625,0,2,4,2,0,0,190.5,33,1,4
Blue,Lightweight,0.039550841,0.002092652,24.51630447,6.519973859,13.52383761,2.528600764,8.4638661,21.26760924,2.14173539,1.106959842,181.2905336,0,4,15,14,2,4,177.8,39,1,9,0.002096653,0.00390625,45.89661813,0.181462765,21.91444516,15.7872963,8.194876671,44.75282693,0.377397776,0.766393423,16.06794381,1,4,11,12,4,0,185.42,34,-1,7
Blue,Heavyweight,0.046875,0,53.4765625,0.734375,35.21875,12.890625,5.3671875,48.84375,3.1328125,1.5,26.78125,0,4,6,2,3,0,203.2,32,4,3,0.316196442,0.032226563,75.09521484,3.135906219,48.99641037,19.27817917,6.820625305,22.16676331,10.40517807,42.52327347,301.5439682,1,4,12,7,9,0,203.2,40,1,3
Blue,Lightweight,0.759773254,0.750267029,27.40708923,2.586479187,20.77659607,3.906295776,2.724197388,22.87870789,2.64100647,1.887374878,176.6449203,0,5,13,5,3,5,182.88,31,1,5,0.033203125,0.693359375,55.72265625,4.349609375,39.39648438,11.36914063,4.95703125,46.54296875,3.455078125,5.724609375,141.4394531,0,6,8,2,3,2,187.96,36,2,3
Red,Bantamweight,0.001991272,0.016670942,88.15638056,7.129005954,65.12282892,15.28200899,7.751542658,85.66977824,1.196346417,1.290255904,69.47310568,9,5,18,9,4,2,172.72,39,3,11,0.546875,0.0625,37.3125,0.453125,17.40625,8.171875,11.734375,33.765625,0.75,2.796875,39.4375,0,5,6,1,3,1,177.8,28,5,2
Red,WomenBantamweight,0.00390625,0.609375,26.33691406,4.68359375,16.38378906,8.611328125,1.341796875,2.747070313,2.588867188,21.00097656,535.2607422,1,3,6,5,1,2,167.64,40,1,3,0,0.15625,31.03125,5.046875,19.9375,9.796875,1.296875,14.71875,6.59375,9.71875,330.59375,1,4,5,2,2,0,175.26,31,4,3
Blue,WomenFlyweight,0.009765625,0.1875,59.546875,2.22265625,19.76367188,12.44628906,27.33691406,53.66992188,3.672851563,2.204101563,135.0957031,0,2,6,5,1,1,165.1,35,1,4,0,0.095703125,67.921875,0.564453125,43.80371094,14.59301758,9.525146484,64.52319336,3.058837891,0.33984375,15.39501953,1,3,5,8,0,0,167.64,34,-2,4
Red,Lightweight,1.093261719,0,39.16503906,0.097167969,29.14648438,6.890136719,3.128417969,24.14550781,6.196289063,8.823242188,20.53173828,4,7,10,2,8,0,187.96,32,7,2,0.065246582,2.390918493,112.4348326,4.765745997,94.65925252,13.83332765,3.942252398,90.86391747,12.72329783,8.847617269,119.5255345,2,4,18,6,8,3,182.88,32,4,7
Red,Middleweight,0,0.259765625,20.56005859,7.453125,14.71582031,3.473632813,2.370605469,15.11181641,1.868652344,3.579589844,460.9326172,1,5,7,5,0,5,200.66,30,1,2,0.187507629,0,23.64103699,3.233131409,15.64216614,2.695022583,5.303848267,19.8800354,2.18170929,1.579292297,62.40726471,0,5,12,6,2,0,187.96,33,2,10
Red,WomenStrawweight,0,1.25,36.125,2.125,21.75,9.625,4.75,23,4,9.125,192.5,0,4,4,0,0,2,167.64,27,4,2,0.0625,0.125,55.625,0.5625,33.625,12.1875,9.8125,29.75,12.5,13.375,65.4375,0,2,2,3,0,0,165.1,33,-1,2
Red,Middleweight,0.65625,0.03125,18.015625,0.46875,13.484375,3.09375,1.4375,13,1.46875,3.546875,19.328125,0,3,5,2,4,0,185.42,29,3,1,0.002197266,0.004150391,39.59570313,5.769287109,28.71411133,7.772460938,3.109130859,29.72509766,6.928222656,2.942382813,121.5378418,0,3,8,5,2,0,185.42,33,1,6
Red,Flyweight,0.75,0,29.75,0.5,21.75,5.75,2.25,20,2,7.75,24.375,0,2,2,2,2,0,172.72,37,-2,0,0,0.546875,18.59375,0.765625,13.578125,1.703125,3.3125,17.03125,0.5625,1,4.09375,0,4,4,3,0,2,177.8,31,-2,2
Blue,WomenFlyweight,0.125,0,71,2.875,49,10.375,11.625,67.875,1.75,1.375,48.875,0,2,3,1,1,0,172.72,34,2,2,0.125,0.00390625,47.734375,4.7578125,42.4296875,2.7578125,2.546875,43.1484375,1.5859375,3,321.4921875,1,1,4,5,1,0,175.26,38,-2,3
Red,Welterweight,0.031253815,0.009796143,62.22525263,6.228290319,36.6281743,17.2006371,8.396441221,40.76683807,14.46960878,6.988805771,328.8798692,0,7,17,6,5,1,203.2,33,1,11,0.000244141,0.165405273,18.96704102,6.592041016,16.27539063,2.052856445,0.638793945,6.694091797,1.769042969,10.50390625,530.5723877,1,3,10,4,0,6,190.5,33,2,4
Red,Welterweight,0.188127041,0.074752837,31.58361024,0.935589194,24.32657906,6.709662974,0.547368199,18.92204553,7.978861034,4.682703674,120.8528591,0,7,15,11,11,2,190.5,40,1,2,0.510437012,0.383026123,52.77694702,0.152496338,29.00779724,10.77981567,12.98933411,49.7736969,1.313232422,1.6900177,31.20773315,3,5,8,9,4,0,190.5,36,-1,3
Blue,Welterweight,0.895996094,0,42.81201172,2.596191406,28.05322266,3.840087891,10.91870117,36.76025391,4.092285156,1.959472656,127.7316895,0,4,9,4,6,0,180.34,32,1,3,1.462890625,0,66.22949219,0.767578125,45.54199219,5.969726563,14.71777344,60.04785156,1.428710938,4.752929688,58.27734375,0,7,9,2,5,0,185.42,34,-1,4
Red,Featherweight,0.3515625,0,79.515625,0.8125,53.578125,14.7734375,11.1640625,71.4296875,0.890625,7.1953125,35.1796875,0,2,6,2,4,0,182.88,32,2,2,0.011796713,0.067169189,125.1964347,0.04016304,76.51023531,28.56748199,20.11871743,117.9780412,6.483564377,0.734829187,3.661295176,8,13,17,6,8,2,175.26,29,-1,6
Blue,Bantamweight,0.13671875,0.3046875,80.328125,1.810546875,64.26953125,12.75195313,3.306640625,73.74609375,4.166015625,2.416015625,85.453125,0,2,7,3,4,1,180.34,33,2,2,0.125,0.0703125,30.5234375,1.28125,22.4375,3.3671875,4.71875,29.5234375,0.5,0.5,15.1484375,1,4,5,3,2,1,170.18,32,-1,2
Blue,WomenBantamweight,0,0.125,82.5,0.75,60.25,10,12.25,75.875,6.5,0.125,36.875,1,2,2,2,0,0,167.64,29,-2,2,0.015625,0.75,67.65625,3.09375,44.109375,15.84375,7.703125,53.484375,2.59375,11.578125,228.0625,0,2,4,3,0,0,170.18,35,2,4
Red,Welterweight,0.875,0.0625,31.1875,1,28.0625,1.75,1.375,18.625,3.25,9.3125,67.0625,0,5,5,0,3,1,190.5,30,5,1,0.57232666,0,92.29534912,0.147460938,68.63000488,16.36566162,7.299682617,85.96551514,1.745544434,4.584289551,9.854797363,2,7,10,5,5,0,190.5,37,1,5
