Winner,weight_class,B_avg_KD,B_avg_SUB_ATT,B_avg_TD_att,B_avg_HEAD_landed,B_avg_BODY_landed,B_avg_LEG_landed,B_avg_CTRL_time.seconds.,B_total_title_bouts,B_longest_win_streak,B_losses,B_win_by_KO.TKO,B_win_by_Submission,B_Reach_cms,B_age,B_current_streak,B_win_by_Decision,R_avg_KD,R_avg_SUB_ATT,R_avg_TD_att,R_avg_HEAD_landed,R_avg_BODY_landed,R_avg_LEG_landed,R_avg_CTRL_time.seconds.,R_total_title_bouts,R_longest_win_streak,R_losses,R_win_by_KO.TKO,R_win_by_Submission,R_Reach_cms,R_age,R_current_streak,R_win_by_Decision
Blue,WomenBantamweight,0.125,0.125,5.375,31.375,26.1875,0.375,390.25,1,3,1,2,1,182.88,29,3,1,0,0.231445313,2.26171875,26.03027344,13.46972656,4.862304688,141.2851563,0,2,6,2,2,172.72,43,2,1
Blue,Lightweight,0,1.25,6.375,23.125,4.5,13.125,431.75,0,4,0,0,2,182.88,27,4,2,0.3125,0.0390625,1.40625,32.28125,5.9453125,3.9609375,59.03125,1,6,1,2,2,190.5,41,1,3
Blue,Welterweight,0.046875,0.189453125,2.73046875,38.81445313,14.41992188,6.87890625,148.5078125,0,1,6,2,0,193.04,35,-1,2,0.625,0,0,23.375,5.875,4.25,13.5,0,2,1,3,0,180.34,31,2,1
Red,Middleweight,0.15625,0.029296875,0.935546875,19.921875,2.685546875,3.470703125,69.5,0,5,2,3,2,205.74,28,-1,3,0.024551392,9.16E-05,8.111679077,46.65184021,15.4604187,10.06764221,157.8121185,0,5,5,7,1,195.58,37,2,4
Blue,LightHeavyweight,1.0625,0.5,3,18.5625,3.4375,0.0625,128.75,0,4,1,1,1,200.66,29,4,2,0,0.77734375,1.234375,3.94921875,2.5625,0.39453125,82.94140625,0,4,3,1,5,195.58,34,4,0
Red,WomenStrawweight,0.015625,1.59375,3.4375,22.0625,6.7421875,4.9296875,406.9375,0,2,5,0,0,175.26,33,-3,3,0.250152588,0.140625,0.636993408,67.7644043,33.17245483,2.771453857,113.0008545,0,3,9,1,0,162.56,36,1,5
Blue,Bantamweight,0.5,0.5,4.625,28.625,13.96875,7.46875,178.9375,1,2,3,1,0,175.26,35,-1,2,0.8125,0,0.75,45.59375,19.3125,5.28125,45.875,0,2,2,2,0,177.8,26,-1,2
Red,Featherweight,0,1.3125,8.9375,54.3125,23.1875,6.75,225.5,0,3,1,0,2,167.64,34,1,2,0.09375,0.03125,6.25,39.875,22.125,11.21875,63.453125,0,6,2,1,1,180.34,29,-1,4
Blue,WomenFlyweight,0,0,0.71875,45.15625,8.359375,3.3125,60.90625,0,3,3,0,0,170.18,28,-1,4,0,0.595703125,0.412109375,21.55859375,3.4296875,7.137207031,10.54736328,0,2,7,1,2,170.18,33,-2,2
Red,Bantamweight,0,0.15625,3.40625,55.4375,24.90625,17.5625,68.34375,0,3,1,0,1,172.72,29,2,4,0.125,0.015625,5.875,37.8125,8.65625,13.0625,42.78125,6,5,2,1,0,172.72,35,5,4
Blue,Bantamweight,0,1.128051758,4.014526367,38.44311523,15.8223877,8.794067383,75.11462402,0,5,3,1,4,180.34,31,4,6,1.53125,0.03125,2.328125,96.984375,23.859375,5.984375,183.984375,1,7,0,4,0,170.18,28,7,3
Red,LightHeavyweight,1.05078125,0.1328125,0.01953125,24.96875,7.0859375,22.84765625,8.6171875,4,9,0,4,0,203.2,31,9,5,0.825195313,0.017700195,0.11895752,21.9309082,5.720458984,8.742736816,9.817443848,1,4,5,4,2,198.12,38,1,4
Blue,LightHeavyweight,0.71875,0.25,2.4375,24.5625,8.59375,14.46875,434.28125,0,4,1,2,0,198.12,29,4,3,0.760400772,0.015625,0.458078384,28.63368607,4.301019669,11.60986328,58.49700165,1,4,7,11,0,193.04,37,-1,2
Red,WomenFeatherweight,0.5,0.25,1,6.8125,1.375,0,58,0,2,2,2,1,182.88,31,-1,0,0.251464844,1.008789063,6.637939453,65.39221191,9.487182617,15.51220703,530.2392578,8,11,1,7,2,175.26,32,2,4
Red,Lightweight,0.388671875,0.00012207,0.180603027,32.88763428,4.716918945,4.52142334,27.59954834,0,3,6,5,1,177.8,32,-2,3,0.5625,0.1640625,3.1328125,20.0859375,5.5234375,2.265625,274.171875,0,6,1,1,2,177.8,29,1,4
Red,Flyweight,0,0,1.5,32.6875,11.625,15.6875,38.1875,0,1,3,0,0,175.26,31,1,2,0.00012207,1.079589844,10.76257324,20.25024414,11.27172852,14.82312012,172.251709,1,2,9,0,1,167.64,34,-1,4
Blue,Heavyweight,0.625,0.25,0.75,22.625,18.25,18.5,33.75,0,4,0,1,2,205.74,30,4,1,0.75,0,0,19.1875,2.53125,12.6875,5.875,0,4,1,5,0,198.12,32,4,0
Blue,Lightweight,0,1.0625,3.125,20.5,3.6875,6.1875,87.9375,0,2,2,0,1,177.8,25,-1,2,0.53125,0,1.8125,16.78125,8.75,5.125,34.125,0,2,2,2,0,182.88,28,2,2
Red,Bantamweight,0.033203125,0.5,2.560546875,22.05664063,12.55078125,16.42578125,92.94140625,0,5,3,1,0,172.72,31,5,6,0.28125,0.046386719,0.326049805,66.83703613,20.65002441,32.32800293,14.07067871,0,4,6,3,3,165.1,34,-1,2
Red,WomenBantamweight,0.5,0.5,0.5,47.75,29.375,39.375,118.375,0,3,1,0,1,177.8,23,-1,2,0,0.213867188,2.970703125,25.29785156,19.25292969,20.02734375,228.3916016,1,3,5,0,1,172.72,36,3,5
Blue,LightHeavyweight,1.21875,0,0.5625,16.3125,3.75,2.03125,78.625,0,5,1,4,0,190.5,28,-1,1,0.017822266,0.576660156,5.394775391,27.14599609,8.715576172,4.066650391,440.2099609,0,5,5,3,4,195.58,28,-1,1
Blue,Heavyweight,0.524536133,0,1.187185287,23.53863525,3.939235687,0.512947083,107.122467,1,6,5,11,0,200.66,36,2,4,0.00390625,0,15.60351563,26.63720703,4.620117188,16.14404297,703.9389648,0,4,3,4,0,203.2,30,-1,4
Blue,WomenBantamweight,0,0.0625,1.875,18.625,22.3125,9.375,523.25,1,2,2,0,0,172.72,31,-1,3,0,0.25,3.15625,44.34375,2.90625,0.5625,179.625,0,4,1,0,1,172.72,29,4,4
Blue,WomenFlyweight,0,0.390625,1.28125,49.984375,15.515625,12.890625,76.296875,0,1,3,0,0,167.64,27,1,4,0,0.5,0.625,25.25,4,2.625,100.375,0,3,1,3,0,165.1,22,3,0
Red,Welterweight,0.15625,0.015625,3.7890625,20.640625,5.34765625,8.140625,93.09765625,2,3,5,1,0,190.5,32,-1,3,0,0.28125,7.765625,49.29492188,10.90917969,7.1953125,162.3574219,0,4,3,1,1,182.88,32,-1,6
Red,Welterweight,0.271484375,0.657104492,5.139709473,27.60198975,15.69763184,10.91210938,297.2454224,0,6,3,3,4,180.34,34,3,5,0.54296875,0.002441406,10.22607422,65.83300781,50.36376953,3.833007813,731.5102539,4,12,0,2,1,193.04,33,12,9
Red,Featherweight,0.12890625,0.568359375,1.541015625,10.50195313,3.857421875,6.48828125,26.09765625,0,2,4,2,3,167.64,34,1,1,0.0625,0.515625,10.328125,25.5,6.53125,3.453125,330.046875,0,3,2,1,1,175.26,28,3,3
Red,Middleweight,0.5625,0.125,4,23.625,6.5,6.25,67.25,0,2,2,1,0,182.88,32,2,2,0.130874634,0.000137329,2.631286621,14.41984558,5.006210327,6.890579224,71.11103821,2,5,7,3,2,180.34,29,5,5
Blue,CatchWeight,0.5,0.5,0.8125,22.75,7.5625,29.625,56.75,0,3,2,1,0,170.18,29,-1,2,0.03125,0,0.15625,57.53125,30.9375,5.96875,44.625,0,2,2,0,0,190.5,33,1,4
Blue,Lightweight,0.039550841,0.002092652,6.519973859,13.52383761,2.528600764,8.4638661,181.2905336,0,4,14,2,4,177.8,39,1,9,0.002096653,0.00390625,0.181462765,21.91444516,15.7872963,8.194876671,16.06794381,1,4,12,4,0,185.42,34,-1,7
Blue,Heavyweight,0.046875,0,0.734375,35.21875,12.890625,5.3671875,26.78125,0,4,2,3,0,203.2,32,4,3,0.316196442,0.032226563,3.135906219,48.99641037,19.27817917,6.820625305,301.5439682,1,4,7,9,0,203.2,40,1,3
Blue,Lightweight,0.759773254,0.750267029,2.586479187,20.77659607,3.906295776,2.724197388,176.6449203,0,5,5,3,5,182.88,31,1,5,0.033203125,0.693359375,4.349609375,39.39648438,11.36914063,4.95703125,141.4394531,0,6,2,3,2,187.96,36,2,3
Red,Bantamweight,0.001991272,0.016670942,7.129005954,65.12282892,15.28200899,7.751542658,69.47310568,9,5,9,4,2,172.72,39,3,11,0.546875,0.0625,0.453125,17.40625,8.171875,11.734375,39.4375,0,5,1,3,1,177.8,28,5,2
Red,WomenBantamweight,0.00390625,0.609375,4.68359375,16.38378906,8.611328125,1.341796875,535.2607422,1,3,5,1,2,167.64,40,1,3,0,0.15625,5.046875,19.9375,9.796875,1.296875,330.59375,1,4,2,2,0,175.26,31,4,3
Blue,WomenFlyweight,0.009765625,0.1875,2.22265625,19.76367188,12.44628906,27.33691406,135.0957031,0,2,5,1,1,165.1,35,1,4,0,0.095703125,0.564453125,43.80371094,14.59301758,9.525146484,15.39501953,1,3,8,0,0,167.64,34,-2,4
Red,Lightweight,1.093261719,0,0.097167969,29.14648438,6.890136719,3.128417969,20.53173828,4,7,2,8,0,187.96,32,7,2,0.065246582,2.390918493,4.765745997,94.65925252,13.83332765,3.942252398,119.5255345,2,4,6,8,3,182.88,32,4,7
Red,Middleweight,0,0.259765625,7.453125,14.71582031,3.473632813,2.370605469,460.9326172,1,5,5,0,5,200.66,30,1,2,0.187507629,0,3.233131409,15.64216614,2.695022583,5.303848267,62.40726471,0,5,6,2,0,187.96,33,2,10
Red,WomenStrawweight,0,1.25,2.125,21.75,9.625,4.75,192.5,0,4,0,0,2,167.64,27,4,2,0.0625,0.125,0.5625,33.625,12.1875,9.8125,65.4375,0,2,3,0,0,165.1,33,-1,2
Red,Middleweight,0.65625,0.03125,0.46875,13.484375,3.09375,1.4375,19.328125,0,3,2,4,0,185.42,29,3,1,0.002197266,0.004150391,5.769287109,28.71411133,7.772460938,3.109130859,121.5378418,0,3,5,2,0,185.42,33,1,6
Red,Flyweight,0.75,0,0.5,21.75,5.75,2.25,24.375,0,2,2,2,0,172.72,37,-2,0,0,0.546875,0.765625,13.578125,1.703125,3.3125,4.09375,0,4,3,0,2,177.8,31,-2,2
Blue,WomenFlyweight,0.125,0,2.875,49,10.375,11.625,48.875,0,2,1,1,0,172.72,34,2,2,0.125,0.00390625,4.7578125,42.4296875,2.7578125,2.546875,321.4921875,1,1,5,1,0,175.26,38,-2,3
Red,Welterweight,0.031253815,0.009796143,6.228290319,36.6281743,17.2006371,8.396441221,328.8798692,0,7,6,5,1,203.2,33,1,11,0.000244141,0.165405273,6.592041016,16.27539063,2.052856445,0.638793945,530.5723877,1,3,4,0,6,190.5,33,2,4
Red,Welterweight,0.188127041,0.074752837,0.935589194,24.32657906,6.709662974,0.547368199,120.8528591,0,7,11,11,2,190.5,40,1,2,0.510437012,0.383026123,0.152496338,29.00779724,10.77981567,12.98933411,31.20773315,3,5,9,4,0,190.5,36,-1,3
Blue,Welterweight,0.895996094,0,2.596191406,28.05322266,3.840087891,10.91870117,127.7316895,0,4,4,6,0,180.34,32,1,3,1.462890625,0,0.767578125,45.54199219,5.969726563,14.71777344,58.27734375,0,7,2,5,0,185.42,34,-1,4
Red,Featherweight,0.3515625,0,0.8125,53.578125,14.7734375,11.1640625,35.1796875,0,2,2,4,0,182.88,32,2,2,0.011796713,0.067169189,0.04016304,76.51023531,28.56748199,20.11871743,3.661295176,8,13,6,8,2,175.26,29,-1,6
Blue,Bantamweight,0.13671875,0.3046875,1.810546875,64.26953125,12.75195313,3.306640625,85.453125,0,2,3,4,1,180.34,33,2,2,0.125,0.0703125,1.28125,22.4375,3.3671875,4.71875,15.1484375,1,4,3,2,1,170.18,32,-1,2
Blue,WomenBantamweight,0,0.125,0.75,60.25,10,12.25,36.875,1,2,2,0,0,167.64,29,-2,2,0.015625,0.75,3.09375,44.109375,15.84375,7.703125,228.0625,0,2,3,0,0,170.18,35,2,4
Red,Welterweight,0.875,0.0625,1,28.0625,1.75,1.375,67.0625,0,5,0,3,1,190.5,30,5,1,0.57232666,0,0.147460938,68.63000488,16.36566162,7.299682617,9.854797363,2,7,5,5,0,190.5,37,1,5
Red,Bantamweight,0.055419922,0.346435547,1.001525879,18.97650146,12.02233887,13.15692139,74.11621094,0,5,5,5,4,177.8,28,-1,1,0.032318115,0.00100708,0.643341064,34.61956787,19.70394897,10.08831787,2.252441406,12,7,6,4,0,177.8,34,7,6
Red,Welterweight,0.134765625,0.086914063,1.690429688,84.98925781,12.59179688,6.172851563,85.421875,0,3,4,1,1,182.88,30,2,5,0.093772888,0.18857193,0.521152496,33.64801407,9.462467194,6.841075897,18.86279297,4,5,9,3,4,182.88,33,-1,3
Red,Heavyweight,0.5,0,0.75,27.109375,6.328125,14.234375,91.359375,0,2,3,3,0,203.2,32,-1,1,0.000488281,0.0078125,4.388183594,44.23193359,10.16699219,6.831054688,309.9345703,0,3,5,2,0,198.12,35,-1,5
Red,Middleweight,0.15637207,0.072631836,3.938964844,28.67199707,11.97241211,5.822875977,276.692749,0,5,5,4,4,182.88,41,5,1,0.3125,0.05859375,1.87109375,25.84375,5.37109375,5.94140625,137,0,4,2,2,2,205.74,28,-1,3
Blue,Lightweight,0.375061154,1.254415959,0.930060476,19.72487697,6.756447226,4.635360599,22.94133711,0,7,9,2,14,187.96,31,2,1,0.004165649,0.193267822,0.085586548,64.15956116,28.54063416,27.04312134,1.422241211,3,12,2,3,6,193.04,36,3,4
Red,Featherweight,0.0078125,0.8359375,3.4921875,33.3671875,5.6484375,4.0859375,233.375,0,2,4,1,3,175.26,35,2,0,0.004081726,0.003913879,0.593055725,64.57354736,26.24742889,20.96193695,46.94403839,0,6,7,4,0,177.8,37,-1,7
Red,Bantamweight,0.28125,0.03125,2.46875,12.78125,3.6484375,8.9140625,101.7890625,1,4,3,0,1,175.26,30,-1,4,0.250244141,0.119750977,0.938354492,13.23925781,15.82592773,0.848876953,38.74511719,0,4,7,3,2,172.72,29,1,2
Blue,Heavyweight,0.09375,0.140625,1.140625,18.671875,7.125,7.359375,50.4375,0,1,4,1,0,198.12,32,-1,2,0.50491333,0,0.136260986,32.31945801,7.692321777,15.70101929,79.58081055,0,2,9,4,0,193.04,35,-1,3
Blue,Middleweight,0,1.078125,2.53125,53.1484375,4.1875,2.484375,108.1171875,0,3,3,0,2,187.96,27,1,3,0,0.734375,3.51171875,15.11328125,4.6796875,7.0546875,74.03320313,0,4,3,3,3,195.58,32,1,2
Red,LightHeavyweight,0.033203125,0.001953125,7.353515625,20.10546875,32.72460938,2.921875,261.1464844,0,2,4,0,0,190.5,30,-1,6,0.026855469,0.188232422,1.991821289,23.35766602,6.716186523,6.870483398,33.37634277,1,3,6,5,2,193.04,32,-1,1
Red,WomenFlyweight,0,0.140625,5.625,58.4609375,23.703125,7.984375,335.7421875,0,3,2,0,3,162.56,33,3,3,0.000976563,1.00390625,0.901367188,23.0859375,11.54980469,4.400390625,172.3330078,1,3,4,0,0,172.72,31,1,7
Red,WomenFlyweight,0.25,0.75,0.125,15,6.875,2.5,190.5,0,2,2,0,1,170.18,26,-2,1,0,0.75,0.25,19.125,9,4.625,71.5,0,1,2,0,1,170.18,36,1,1
Red,WomenFlyweight,0,0.5,0.5,28.6875,5.5,7.0625,76.8125,0,2,2,0,1,162.56,32,-1,2,0.125,0.1953125,3.015625,24.10742188,4.478515625,13.12890625,305.1679688,5,5,2,2,2,167.64,32,1,4
Red,Flyweight,1.03125,0.296875,1.109375,13.46875,2.15625,11.203125,97.21875,0,3,1,2,2,165.1,28,3,2,1.35546875,2.43359375,0.73046875,25.08203125,4.96875,0.16015625,94.4375,1,4,1,4,2,172.72,32,4,2
Blue,LightHeavyweight,0.125,0.951171875,1.865234375,11.04882813,4.60546875,2.04296875,44.19140625,0,1,5,0,5,193.04,32,1,0,0.223796844,0.000307083,3.514442444,23.97260189,6.770998001,10.74367523,255.9195404,3,3,10,8,0,193.04,38,-1,3
Blue,Welterweight,0.640992165,0.12506485,4.261185646,38.20680618,16.40863132,6.602425098,201.0749083,0,4,10,5,2,190.5,36,2,5,0.504882813,0,0.92578125,35.65795898,9.789550781,10.69775391,210.5629883,0,2,6,4,0,180.34,29,2,3
Blue,Lightweight,9.98E-05,0.261810858,3.017491903,21.11157264,11.66823801,12.52723724,101.0080489,4,5,11,4,4,177.8,36,-2,10,0.02355957,0.002929688,1.070678711,49.08178711,13.60437012,18.50158691,55.03601074,0,3,5,4,1,177.8,36,2,4
Blue,LightHeavyweight,0.501018524,0.738548279,3.757099152,70.1687088,10.49761963,4.511726379,323.5913734,1,5,5,5,5,193.04,41,5,3,0.520801544,0.03125,0.916156769,19.26737213,8.602039337,21.21972656,38.9940033,1,4,6,11,0,193.04,36,-1,2
Red,Heavyweight,0.25,0,0,14.75,7.75,18.375,3.25,0,2,1,2,0,190.5,29,1,1,2.41E-05,5.08E-07,0.133306743,27.23727353,10.18023722,14.72670684,10.20425235,5,7,14,9,2,195.58,41,1,7
Blue,WomenStrawweight,0,0,3.375,67.5,14.3125,17.375,181.4375,0,5,0,0,0,160.02,31,5,5,0.00390625,0.151367188,4.189453125,48.64550781,7.962890625,5.40234375,136.5751953,1,2,4,0,1,160.02,31,1,6
Blue,Lightweight,0.0625,0,3.625,17.5625,13.5,1.25,68.25,0,2,2,1,0,182.88,28,2,2,0,0,0,49.375,28.375,14.125,56.5,0,1,2,1,0,172.72,34,1,1
Blue,Heavyweight,0,0,0.5,22.21875,7.65625,19.46875,30.71875,0,2,3,2,0,203.2,32,-1,1,0.125,0.53125,0,17.1875,7.28125,16.0625,16.34375,0,3,2,1,2,203.2,34,3,1
Red,Middleweight,0.046875,0,0,8.578125,3.390625,1.5625,0.265625,0,1,4,1,0,185.42,30,1,2,0.5234375,0.142578125,0.517578125,47.80859375,2.716796875,1.365234375,45.3203125,0,3,3,2,1,193.04,29,2,4
Blue,Lightweight,0,1.125,3.25,12,2.375,4.375,64.875,0,1,2,0,1,177.8,25,-1,1,0.25012207,0.28137207,4.504516602,46.30847168,21.0802002,11.36206055,306.237915,0,4,6,1,1,180.34,34,4,6
Red,Middleweight,0.035560489,0.000368595,0.00013113,11.01374555,6.116232276,5.289682984,0.277187228,13,16,7,11,3,195.58,45,16,3,0.817016602,0.004150391,0.13861084,25.62634277,4.269836426,6.635864258,14.21820068,1,3,7,4,0,200.66,36,-2,2
Red,Featherweight,0.135253906,0.03137207,5.125305176,35.47039795,6.323791504,4.194763184,93.90869141,0,2,6,3,0,187.96,30,1,6,0,3.125,3.375,19.25,8.75,0.375,486.25,0,4,0,0,1,177.8,26,4,3
Red,Heavyweight,0.912841797,0.000976563,0.205200195,13.94604492,4.469238281,0.143676758,29.92333984,0,2,8,6,0,195.58,37,-3,0,0.09375,0,1.46875,38.4375,14.78125,8.734375,48.5625,0,4,2,2,0,203.2,32,4,3
Red,LightHeavyweight,0.03125,0,1.375,15.3046875,3.4453125,1.3046875,30.5078125,0,2,4,3,0,190.5,26,-1,1,0.4375,0,1.125,15.625,5.5,2.0625,152.25,0,4,1,3,0,190.5,28,-1,1
Blue,Heavyweight,0.09375,0,0.0625,18.5625,5.09375,10.09375,60.90625,0,3,3,2,0,190.5,27,3,1,0.00787735,0.266309023,1.003968954,13.21084094,11.32221484,9.832671642,37.29219007,0,4,10,5,6,213.36,32,-1,2
