Winner,weight_class,B_avg_KD,B_avg_SUB_ATT,B_avg_TD_att,B_avg_DISTANCE_landed,B_avg_CLINCH_landed,B_avg_GROUND_landed,B_avg_CTRL_time.seconds.,B_total_title_bouts,B_longest_win_streak,B_losses,B_win_by_KO.TKO,B_win_by_Submission,B_Reach_cms,B_age,B_current_streak,B_win_by_Decision,R_avg_KD,R_avg_SUB_ATT,R_avg_TD_att,R_avg_DISTANCE_landed,R_avg_CLINCH_landed,R_avg_GROUND_landed,R_avg_CTRL_time.seconds.,R_total_title_bouts,R_longest_win_streak,R_losses,R_win_by_KO.TKO,R_win_by_Submission,R_Reach_cms,R_age,R_current_streak,R_win_by_Decision
Blue,WomenBantamweight,0.125,0.125,5.375,11,28.8125,18.125,390.25,1,3,1,2,1,182.88,29,3,1,0,0.231445313,2.26171875,27.90722656,13.97070313,2.484375,141.2851563,0,2,6,2,2,172.72,43,2,1
Blue,Lightweight,0,1.25,6.375,29.625,2,9.125,431.75,0,4,0,0,2,182.88,27,4,2,0.3125,0.0390625,1.40625,28.8828125,5.171875,8.1328125,59.03125,1,6,1,2,2,190.5,41,1,3
Blue,Welterweight,0.046875,0.189453125,2.73046875,55.88867188,3.763671875,0.4609375,148.5078125,0,1,6,2,0,193.04,35,-1,2,0.625,0,0,28.9375,3,1.5625,13.5,0,2,1,3,0,180.34,31,2,1
Red,Middleweight,0.15625,0.029296875,0.935546875,14.09375,2.984375,9,69.5,0,5,2,3,2,205.74,28,-1,3,0.024551392,9.16E-05,8.111679077,50.01177979,7.164001465,15.00411987,157.8121185,0,5,5,7,1,195.58,37,2,4
Blue,LightHeavyweight,1.0625,0.5,3,16.5625,2.1875,3.3125,128.75,0,4,1,1,1,200.66,29,4,2,0,0.77734375,1.234375,2.4921875,2.71484375,1.69921875,82.94140625,0,4,3,1,5,195.58,34,4,0
Red,WomenStrawweight,0.015625,1.59375,3.4375,19.734375,2.8671875,11.1328125,406.9375,0,2,5,0,0,175.26,33,-3,3,0.250152588,0.140625,0.636993408,84.08758545,16.8878479,2.732879639,113.0008545,0,3,9,1,0,162.56,36,1,5
Blue,Bantamweight,0.5,0.5,4.625,44.4375,2.46875,3.15625,178.9375,1,2,3,1,0,175.26,35,-1,2,0.8125,0,0.75,60.125,3.5625,6.5,45.875,0,2,2,2,0,177.8,26,-1,2
Red,Featherweight,0,1.3125,8.9375,64.0625,17.5625,2.625,225.5,0,3,1,0,2,167.64,34,1,2,0.09375,0.03125,6.25,64.7109375,4.21875,4.2890625,63.453125,0,6,2,1,1,180.34,29,-1,4
Blue,WomenFlyweight,0,0,0.71875,49.359375,7.15625,0.3125,60.90625,0,3,3,0,0,170.18,28,-1,4,0,0.595703125,0.412109375,28.35791016,2.444824219,1.322753906,10.54736328,0,2,7,1,2,170.18,33,-2,2
Red,Bantamweight,0,0.15625,3.40625,93.84375,3.09375,0.96875,68.34375,0,3,1,0,1,172.72,29,2,4,0.125,0.015625,5.875,55.6875,2.578125,1.265625,42.78125,6,5,2,1,0,172.72,35,5,4
Blue,Bantamweight,0,1.128051758,4.014526367,56.76257324,4.485229492,1.811767578,75.11462402,0,5,3,1,4,180.34,31,4,6,1.53125,0.03125,2.328125,67.8125,10.765625,48.25,183.984375,1,7,0,4,0,170.18,28,7,3
Red,LightHeavyweight,1.05078125,0.1328125,0.01953125,48.62109375,1.34375,4.9375,8.6171875,4,9,0,4,0,203.2,31,9,5,0.825195313,0.017700195,0.11895752,31.89178467,2.377746582,2.124572754,9.817443848,1,4,5,4,2,198.12,38,1,4
Blue,LightHeavyweight,0.71875,0.25,2.4375,29.8125,6.25,11.5625,434.28125,0,4,1,2,0,198.12,29,4,3,0.760400772,0.015625,0.458078384,23.81578255,3.242740631,17.48604584,58.49700165,1,4,7,11,0,193.04,37,-1,2
Red,WomenFeatherweight,0.5,0.25,1,4.125,1.5625,2.5,58,0,2,2,2,1,182.88,31,-1,0,0.251464844,1.008789063,6.637939453,56.08776855,1.934814453,32.36901855,530.2392578,8,11,1,7,2,175.26,32,2,4
Red,Lightweight,0.388671875,0.00012207,0.180603027,33.20422363,4.888122559,4.033630371,27.59954834,0,3,6,5,1,177.8,32,-2,3,0.5625,0.1640625,3.1328125,16.4296875,3.5703125,7.875,274.171875,0,6,1,1,2,177.8,29,1,4
Red,Flyweight,0,0,1.5,44.1875,11.3125,4.5,38.1875,0,1,3,0,0,175.26,31,1,2,0.00012207,1.079589844,10.76257324,30.79467773,9.789550781,5.760864258,172.251709,1,2,9,0,1,167.64,34,-1,4
Blue,Heavyweight,0.625,0.25,0.75,51,6.875,1.5,33.75,0,4,0,1,2,205.74,30,4,1,0.75,0,0,25.375,2.53125,6.5,5.875,0,4,1,5,0,198.12,32,4,0
Blue,Lightweight,0,1.0625,3.125,27.375,1.0625,1.9375,87.9375,0,2,2,0,1,177.8,25,-1,2,0.53125,0,1.8125,26.625,3.34375,0.6875,34.125,0,2,2,2,0,182.88,28,2,2
