"Winner","B_avg_SUB_ATT","B_avg_TD_att","B_avg_HEAD_landed","B_avg_BODY_landed","B_avg_LEG_landed","B_avg_GROUND_landed","B_avg_CTRL_time.seconds.","B_age","R_avg_SUB_ATT","R_avg_TD_att","R_avg_HEAD_landed","R_avg_BODY_landed","R_avg_LEG_landed","R_avg_GROUND_landed","R_avg_CTRL_time.seconds.","R_age"
"Blue",1.25,6.375,23.125,4.5,13.125,9.125,431.75,27,0.0390625,1.40625,32.28125,5.9453125,3.9609375,8.1328125,59.03125,41
"Blue",0.189453125,2.73046875,38.81445313,14.41992188,6.87890625,0.4609375,148.5078125,35,0,0,23.375,5.875,4.25,1.5625,13.5,31
"Red",0.029296875,0.935546875,19.921875,2.685546875,3.470703125,9,69.5,28,9.16e-05,8.111679077,46.65184021,15.4604187,10.06764221,15.00411987,157.8121185,37
"Blue",0.5,3,18.5625,3.4375,0.0625,3.3125,128.75,29,0.77734375,1.234375,3.94921875,2.5625,0.39453125,1.69921875,82.94140625,34
"Blue",0.5,4.625,28.625,13.96875,7.46875,3.15625,178.9375,35,0,0.75,45.59375,19.3125,5.28125,6.5,45.875,26
"Red",1.3125,8.9375,54.3125,23.1875,6.75,2.625,225.5,34,0.03125,6.25,39.875,22.125,11.21875,4.2890625,63.453125,29
"Red",0.15625,3.40625,55.4375,24.90625,17.5625,0.96875,68.34375,29,0.015625,5.875,37.8125,8.65625,13.0625,1.265625,42.78125,35
"Blue",1.128051758,4.014526367,38.44311523,15.8223877,8.794067383,1.811767578,75.11462402,31,0.03125,2.328125,96.984375,23.859375,5.984375,48.25,183.984375,28
"Red",0.1328125,0.01953125,24.96875,7.0859375,22.84765625,4.9375,8.6171875,31,0.017700195,0.11895752,21.9309082,5.720458984,8.742736816,2.124572754,9.817443848,38
"Blue",0.25,2.4375,24.5625,8.59375,14.46875,11.5625,434.28125,29,0.015625,0.458078384,28.63368607,4.301019669,11.60986328,17.48604584,58.49700165,37
